Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TSC2_NUP133	LIHC	WithSecondM	1	2	1	4
TSC2_NUP133	LIHC	WOSecondM	9	93	3	208
TSC2_ACVR2A	LIHC	WithSecondM	1	3	1	3
TSC2_ACVR2A	LIHC	WOSecondM	9	92	3	209
TSC2_EEF1A1	LIHC	WithSecondM	1	2	1	4
TSC2_EEF1A1	LIHC	WOSecondM	9	93	3	208
TSC2_IL6ST	LIHC	WithSecondM	1	1	1	2
TSC2_IL6ST	LIHC	WOSecondM	9	94	3	210
TSC2_CTNNB1	LIHC	WithSecondM	1	13	2	70
TSC2_CTNNB1	LIHC	WOSecondM	9	82	2	142
TSC2_APOB	LIHC	WithSecondM	1	4	1	14
TSC2_APOB	LIHC	WOSecondM	9	91	3	198
TSC2_AXIN1	LIHC	WithSecondM	3	21	1	2
TSC2_AXIN1	LIHC	WOSecondM	7	74	3	210
TSC2_KEAP1	LIHC	WithSecondM	1	1	1	11
TSC2_KEAP1	LIHC	WOSecondM	9	94	3	201
TSC2_NFE2L2	LIHC	WithSecondM	1	4	1	7
TSC2_NFE2L2	LIHC	WOSecondM	9	91	3	205
TSC2_RB1	LIHC	WithSecondM	3	2	2	8
TSC2_RB1	LIHC	WOSecondM	7	93	2	204
TSC2_DHX9	LIHC	WithSecondM	1	1	1	2
TSC2_DHX9	LIHC	WOSecondM	9	94	3	210
TSC2_CDKN2A	LIHC	WithSecondM	1	1	1	10
TSC2_CDKN2A	LIHC	WOSecondM	9	94	3	202
TSC2_ARID2	LIHC	WithSecondM	1	3	1	9
TSC2_ARID2	LIHC	WOSecondM	9	92	3	203
TSC2_BRD7	LIHC	WithSecondM	1	5	1	5
TSC2_BRD7	LIHC	WOSecondM	9	90	3	207
TSC2_RPS6KA3	LIHC	WithSecondM	1	6	2	4
TSC2_RPS6KA3	LIHC	WOSecondM	9	89	2	208
TSC2_TP53	LIHC	WithSecondM	6	36	2	50
TSC2_TP53	LIHC	WOSecondM	4	59	2	162
TSC2_SMARCA4	LIHC	WithSecondM	1	4	2	2
TSC2_SMARCA4	LIHC	WOSecondM	9	91	2	210
TSC2_ALB	LIHC	WithSecondM	1	8	2	19
